DATE_TIME,current_contract,next_contract,carry_contract
2000-05-17 23:00:00,20000800,20000900,20000700
2000-06-16 23:00:00,20000900,20001000,20000800
2000-07-17 23:00:00,20001000,20001200,20000900
2000-09-15 23:00:00,20001200,20010100,20001000
2000-10-17 23:00:00,20010100,20010300,20001200
2000-12-15 23:00:00,20010300,20010500,20010100
2001-02-14 23:00:00,20010500,20010700,20010300
2001-04-16 23:00:00,20010700,20010800,20010500
2001-05-17 23:00:00,20010800,20010900,20010700
2001-06-18 23:00:00,20010900,20011000,20010800
2001-07-17 23:00:00,20011000,20011200,20010900
2001-09-17 23:00:00,20011200,20020100,20011000
2001-10-17 23:00:00,20020100,20020300,20011200
2001-12-14 23:00:00,20020300,20020500,20020100
2002-02-14 23:00:00,20020500,20020700,20020300
2002-04-16 23:00:00,20020700,20020800,20020500
2002-05-17 23:00:00,20020800,20020900,20020700
2002-06-17 23:00:00,20020900,20021000,20020800
2002-07-17 23:00:00,20021000,20021200,20020900
2002-09-16 23:00:00,20021200,20030100,20021000
2002-10-17 23:00:00,20030100,20030300,20021200
2002-12-16 23:00:00,20030300,20030500,20030100
2003-02-14 23:00:00,20030500,20030700,20030300
2003-04-16 23:00:00,20030700,20030800,20030500
2003-05-16 23:00:00,20030800,20030900,20030700
2003-06-17 23:00:00,20030900,20031000,20030800
2003-07-17 23:00:00,20031000,20031200,20030900
2003-09-16 23:00:00,20031200,20040100,20031000
2003-10-17 23:00:00,20040100,20040300,20031200
2003-12-16 23:00:00,20040300,20040500,20040100
2004-02-13 23:00:00,20040500,20040700,20040300
2004-04-16 23:00:00,20040700,20040800,20040500
2004-05-17 23:00:00,20040800,20040900,20040700
2004-06-17 23:00:00,20040900,20041000,20040800
2004-07-16 23:00:00,20041000,20041200,20040900
2004-09-16 23:00:00,20041200,20050100,20041000
2004-10-18 23:00:00,20050100,20050300,20041200
2004-12-15 23:00:00,20050300,20050500,20050100
2005-02-14 23:00:00,20050500,20050700,20050300
2005-04-15 23:00:00,20050700,20050800,20050500
2005-05-17 23:00:00,20050800,20050900,20050700
2005-06-17 23:00:00,20050900,20051000,20050800
2005-07-18 23:00:00,20051000,20051200,20050900
2005-09-16 23:00:00,20051200,20060100,20051000
2005-10-17 23:00:00,20060100,20060300,20051200
2005-12-15 23:00:00,20060300,20060500,20060100
2006-02-14 23:00:00,20060500,20060700,20060300
2006-04-17 23:00:00,20060700,20060800,20060500
2006-05-17 23:00:00,20060800,20060900,20060700
2006-06-16 23:00:00,20060900,20061000,20060800
2006-07-17 23:00:00,20061000,20061200,20060900
2006-09-15 23:00:00,20061200,20070100,20061000
2006-10-17 23:00:00,20070100,20070300,20061200
2006-12-15 23:00:00,20070300,20070500,20070100
2007-02-14 23:00:00,20070500,20070700,20070300
2007-04-16 23:00:00,20070700,20070800,20070500
2007-05-17 23:00:00,20070800,20070900,20070700
2007-06-18 23:00:00,20070900,20071000,20070800
2007-07-17 23:00:00,20071000,20071200,20070900
2007-09-17 23:00:00,20071200,20080100,20071000
2007-10-17 23:00:00,20080100,20080300,20071200
2007-12-17 23:00:00,20080300,20080500,20080100
2008-02-15 23:00:00,20080500,20080700,20080300
2008-04-16 23:00:00,20080700,20080800,20080500
2008-05-16 23:00:00,20080800,20080900,20080700
2008-06-17 23:00:00,20080900,20081000,20080800
2008-07-17 23:00:00,20081000,20081200,20080900
2008-09-16 23:00:00,20081200,20090100,20081000
2008-10-17 23:00:00,20090100,20090300,20081200
2008-12-15 23:00:00,20090300,20090500,20090100
2009-02-13 23:00:00,20090500,20090700,20090300
2009-04-16 23:00:00,20090700,20090800,20090500
2009-05-18 23:00:00,20090800,20090900,20090700
2009-06-17 23:00:00,20090900,20091000,20090800
2009-07-17 23:00:00,20091000,20091200,20090900
2009-09-16 23:00:00,20091200,20100100,20091000
2009-10-16 23:00:00,20100100,20100300,20091200
2009-12-15 23:00:00,20100300,20100500,20100100
2010-02-12 23:00:00,20100500,20100700,20100300
2010-04-16 23:00:00,20100700,20100800,20100500
2010-05-17 23:00:00,20100800,20100900,20100700
2010-06-17 23:00:00,20100900,20101000,20100800
2010-07-16 23:00:00,20101000,20101200,20100900
2010-09-16 23:00:00,20101200,20110100,20101000
2010-10-18 23:00:00,20110100,20110300,20101200
2010-12-15 23:00:00,20110300,20110500,20110100
2011-02-14 23:00:00,20110500,20110700,20110300
2011-04-15 23:00:00,20110700,20110800,20110500
2011-05-17 23:00:00,20110800,20110900,20110700
2011-06-17 23:00:00,20110900,20111000,20110800
2011-07-18 23:00:00,20111000,20111200,20110900
2011-09-16 23:00:00,20111200,20120100,20111000
2011-10-17 23:00:00,20120100,20120300,20111200
2011-12-16 23:00:00,20120300,20120500,20120100
2012-02-15 23:00:00,20120500,20120700,20120300
2012-04-16 23:00:00,20120700,20120800,20120500
2012-05-17 23:00:00,20120800,20120900,20120700
2012-06-18 23:00:00,20120900,20121000,20120800
2012-07-17 23:00:00,20121000,20121200,20120900
2012-09-17 23:00:00,20121200,20130100,20121000
2012-10-17 23:00:00,20130100,20130300,20121200
2012-12-14 23:00:00,20130300,20130500,20130100
2013-02-14 23:00:00,20130500,20130700,20130300
2013-04-16 23:00:00,20130700,20130800,20130500
2013-05-17 23:00:00,20130800,20130900,20130700
2013-06-17 23:00:00,20130900,20131000,20130800
2013-07-17 23:00:00,20131000,20131200,20130900
2013-09-16 23:00:00,20131200,20140100,20131000
2013-10-17 23:00:00,20140100,20140300,20131200
2013-12-16 23:00:00,20140300,20140500,20140100
2014-02-14 23:00:00,20140500,20140700,20140300
2014-04-16 23:00:00,20140700,20140800,20140500
2014-05-16 23:00:00,20140800,20140900,20140700
2014-06-17 23:00:00,20140900,20141000,20140800
